CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12651.0,334,1,114.0,1,New Customers
12652.0,330,1,919.98,1,New Customers
12653.0,148,2,2209.85,1,New Customers
12654.0,10,5,601.98,3,Low Value Buyers
12656.0,16,5,4051.17,3,Low Value Buyers
12657.0,10,4,1643.18,3,Low Value Buyers
12658.0,18,1,686.05,3,Low Value Buyers
12659.0,29,1,91.68,3,Low Value Buyers
12660.0,10,1,245.1,3,Low Value Buyers
12662.0,0,11,3849.78,3,Low Value Buyers
12664.0,7,9,4881.88,3,Low Value Buyers
12665.0,324,1,63.0,1,New Customers
12667.0,57,1,620.13,3,Low Value Buyers
12668.0,11,4,3807.15,3,Low Value Buyers
12669.0,150,3,2744.0299999999997,1,New Customers
12670.0,9,5,2996.05,3,Low Value Buyers
12672.0,329,1,225.89999999999998,1,New Customers
12673.0,4,2,610.52,3,Low Value Buyers
12674.0,38,4,1970.6,3,Low Value Buyers
12676.0,24,6,1331.39,3,Low Value Buyers
12678.0,41,12,17628.46,0,Loyal / High Spenders
12679.0,58,4,1113.02,3,Low Value Buyers
12680.0,0,4,862.81,3,Low Value Buyers
12681.0,14,22,13787.54,0,Loyal / High Spenders
12682.0,3,31,12288.22,0,Loyal / High Spenders
12683.0,3,15,8476.57,0,Loyal / High Spenders
12684.0,7,7,2283.63,3,Low Value Buyers
12685.0,27,6,2863.08,3,Low Value Buyers
12686.0,371,1,89.14,1,New Customers
12688.0,113,1,4873.8099999999995,3,Low Value Buyers
12689.0,25,2,1247.61,3,Low Value Buyers
12690.0,205,1,389.01,1,New Customers
12691.0,27,6,1035.8,3,Low Value Buyers
12693.0,126,4,855.91,3,Low Value Buyers
12694.0,69,2,869.67,3,Low Value Buyers
12695.0,6,4,582.1,3,Low Value Buyers
12697.0,28,3,957.59,3,Low Value Buyers
12700.0,7,4,4939.99,3,Low Value Buyers
12701.0,79,2,797.71,3,Low Value Buyers
12702.0,19,1,219.0,3,Low Value Buyers
12703.0,70,1,283.55,3,Low Value Buyers
12704.0,6,8,2340.84,3,Low Value Buyers
12705.0,14,9,6868.29,3,Low Value Buyers
12707.0,291,1,603.42,1,New Customers
12708.0,29,10,2712.91,3,Low Value Buyers
12709.0,14,15,9736.52,0,Loyal / High Spenders
12710.0,96,3,1149.02,3,Low Value Buyers
12712.0,28,13,4396.13,3,Low Value Buyers
12713.0,0,1,848.55,3,Low Value Buyers
12714.0,8,5,4708.86,3,Low Value Buyers
12715.0,105,1,353.86,3,Low Value Buyers
12716.0,3,2,1053.49,3,Low Value Buyers
12717.0,150,2,1030.98,1,New Customers
12718.0,70,1,238.25,3,Low Value Buyers
12719.0,4,2,644.95,3,Low Value Buyers
12720.0,2,25,5781.73,0,Loyal / High Spenders
12721.0,31,6,2656.13,3,Low Value Buyers
12722.0,84,4,997.63,3,Low Value Buyers
12723.0,3,5,725.07,3,Low Value Buyers
12724.0,4,4,1031.41,3,Low Value Buyers
12725.0,370,1,427.8,1,New Customers
12726.0,27,7,2609.1,3,Low Value Buyers
12727.0,10,7,3980.7,3,Low Value Buyers
12728.0,70,4,836.33,3,Low Value Buyers
12729.0,113,1,453.01,3,Low Value Buyers
12731.0,23,12,18895.91,0,Loyal / High Spenders
12732.0,179,1,236.26000000000002,1,New Customers
12733.0,233,1,383.95,1,New Customers
12734.0,352,1,110.39999999999999,1,New Customers
12735.0,314,2,779.5699999999999,1,New Customers
12736.0,332,1,234.0,1,New Customers
12738.0,371,1,155.35,1,New Customers
12739.0,77,2,1013.04,3,Low Value Buyers
12740.0,63,1,427.6,3,Low Value Buyers
12743.0,133,2,546.43,3,Low Value Buyers
12744.0,51,7,21279.29,0,Loyal / High Spenders
12747.0,1,11,4196.01,3,Low Value Buyers
12748.0,0,210,33719.73,2,At Risk / Inactive
12749.0,3,5,4090.88,3,Low Value Buyers
12750.0,128,1,275.88,3,Low Value Buyers
12752.0,80,1,4366.78,3,Low Value Buyers
12753.0,22,6,21429.39,3,Low Value Buyers
12754.0,235,3,3010.74,1,New Customers
12755.0,280,2,3811.95,1,New Customers
12756.0,86,1,112.07999999999998,3,Low Value Buyers
12757.0,15,13,7857.1,0,Loyal / High Spenders
12758.0,116,2,2791.59,3,Low Value Buyers
12759.0,51,3,1531.44,3,Low Value Buyers
12762.0,7,2,1898.52,3,Low Value Buyers
12763.0,137,2,494.08,3,Low Value Buyers
12764.0,316,1,1693.88,1,New Customers
12766.0,3,7,6989.63,3,Low Value Buyers
12769.0,238,1,1143.6,1,New Customers
12770.0,210,1,1351.45,1,New Customers
12772.0,59,1,892.47,3,Low Value Buyers
12775.0,16,5,1386.04,3,Low Value Buyers
12778.0,19,6,822.23,3,Low Value Buyers
12779.0,37,8,3981.36,3,Low Value Buyers
12781.0,63,2,826.74,3,Low Value Buyers
12782.0,4,5,2330.92,3,Low Value Buyers
12783.0,1,6,2225.91,3,Low Value Buyers
12784.0,8,2,574.42,3,Low Value Buyers
12785.0,363,1,311.95,1,New Customers
12787.0,9,3,463.66,3,Low Value Buyers
12789.0,64,1,91.85,3,Low Value Buyers
12790.0,191,1,324.92,1,New Customers
12791.0,373,1,192.60000000000002,1,New Customers
12792.0,256,1,400.53999999999996,1,New Customers
12793.0,334,2,545.48,1,New Customers
12794.0,52,2,860.41,3,Low Value Buyers
12795.0,18,1,430.48,3,Low Value Buyers
12797.0,365,1,254.03,1,New Customers
12798.0,9,3,6977.04,3,Low Value Buyers
12802.0,186,1,427.58,1,New Customers
12808.0,36,3,483.65000000000003,3,Low Value Buyers
12809.0,177,1,489.31,1,New Customers
12811.0,260,3,514.85,1,New Customers
12812.0,44,1,229.64000000000001,3,Low Value Buyers
12814.0,101,1,125.92,3,Low Value Buyers
12815.0,147,2,1063.46,1,New Customers
12816.0,95,2,572.2,3,Low Value Buyers
12817.0,280,1,166.04,1,New Customers
12818.0,261,1,1542.08,1,New Customers
12820.0,2,4,942.34,3,Low Value Buyers
12821.0,213,1,92.72,1,New Customers
12822.0,70,2,948.88,3,Low Value Buyers
12823.0,74,5,1759.5,3,Low Value Buyers
12824.0,59,1,397.12,3,Low Value Buyers
12826.0,2,7,1474.72,3,Low Value Buyers
12827.0,5,3,430.15000000000003,3,Low Value Buyers
12828.0,2,6,1018.71,3,Low Value Buyers
12829.0,336,2,293.0,1,New Customers
12830.0,37,6,6814.64,3,Low Value Buyers
12831.0,261,1,215.05,1,New Customers
12832.0,31,2,383.03,3,Low Value Buyers
12833.0,144,1,417.38,1,New Customers
12834.0,282,1,312.38,1,New Customers
12836.0,58,4,2612.86,3,Low Value Buyers
12837.0,172,1,134.1,1,New Customers
12838.0,33,2,683.13,3,Low Value Buyers
12839.0,2,14,5591.42,0,Loyal / High Spenders
12840.0,143,4,2726.77,3,Low Value Buyers
12841.0,4,25,4022.35,0,Loyal / High Spenders
12842.0,69,2,1118.99,3,Low Value Buyers
12843.0,65,8,1702.26,3,Low Value Buyers
12844.0,28,2,325.96000000000004,3,Low Value Buyers
12845.0,266,4,354.09,1,New Customers
12847.0,21,1,871.54,3,Low Value Buyers
12849.0,30,2,1050.8899999999999,3,Low Value Buyers
12851.0,96,1,135.18,3,Low Value Buyers
12852.0,294,1,311.55,1,New Customers
12853.0,134,6,1957.1000000000001,3,Low Value Buyers
12854.0,78,3,1324.5,3,Low Value Buyers
12855.0,372,1,38.1,1,New Customers
12856.0,7,6,2179.93,3,Low Value Buyers
12857.0,210,2,1106.4,1,New Customers
12863.0,51,1,521.2,3,Low Value Buyers
12864.0,137,1,147.12,3,Low Value Buyers
12865.0,25,2,1568.23,3,Low Value Buyers
12866.0,282,1,559.12,1,New Customers
12867.0,25,7,4036.82,3,Low Value Buyers
12868.0,185,6,1607.0600000000002,1,New Customers
12871.0,83,2,380.64,3,Low Value Buyers
12872.0,326,2,599.97,1,New Customers
12873.0,281,1,374.0,1,New Customers
12875.0,142,2,343.2300000000001,3,Low Value Buyers
12876.0,57,2,2218.02,3,Low Value Buyers
12877.0,3,12,1535.77,3,Low Value Buyers
12878.0,235,2,854.99,1,New Customers
12879.0,44,3,573.22,3,Low Value Buyers
12881.0,275,1,298.0,1,New Customers
12882.0,8,2,1463.04,3,Low Value Buyers
12883.0,24,4,703.47,3,Low Value Buyers
12884.0,87,1,309.05,3,Low Value Buyers
12885.0,62,3,1175.22,3,Low Value Buyers
12886.0,67,2,1378.4,3,Low Value Buyers
12888.0,213,2,354.12,1,New Customers
12890.0,23,1,380.46999999999997,3,Low Value Buyers
12891.0,185,3,331.0,1,New Customers
12893.0,30,1,188.14,3,Low Value Buyers
12895.0,41,2,372.8,3,Low Value Buyers
12897.0,204,2,216.5,1,New Customers
12901.0,8,28,17654.54,0,Loyal / High Spenders
12902.0,264,1,138.68,1,New Customers
12904.0,17,2,509.58,3,Low Value Buyers
12906.0,11,5,2919.81,3,Low Value Buyers
12908.0,175,2,750.0,1,New Customers
12909.0,39,5,2178.67,3,Low Value Buyers
12910.0,22,8,3075.04,3,Low Value Buyers
12912.0,2,5,1662.3,3,Low Value Buyers
12913.0,4,5,2483.63,3,Low Value Buyers
12915.0,148,2,363.65,1,New Customers
12916.0,138,4,3006.15,3,Low Value Buyers
12917.0,127,1,594.0,3,Low Value Buyers
12919.0,7,6,1335.19,3,Low Value Buyers
12920.0,16,1,164.23,3,Low Value Buyers
12921.0,8,37,16587.09,0,Loyal / High Spenders
12922.0,160,1,405.38,1,New Customers
12923.0,63,1,176.97,3,Low Value Buyers
12924.0,87,4,933.7,3,Low Value Buyers
12925.0,4,2,694.05,3,Low Value Buyers
12928.0,34,5,2062.7000000000003,3,Low Value Buyers
12929.0,311,1,117.85,1,New Customers
12930.0,77,2,415.8,3,Low Value Buyers
12931.0,21,15,42055.96,0,Loyal / High Spenders
12933.0,23,3,607.53,3,Low Value Buyers
12935.0,1,7,2160.7,3,Low Value Buyers
12936.0,16,4,1063.9,3,Low Value Buyers
12937.0,14,4,1504.27,3,Low Value Buyers
12938.0,25,1,114.14,3,Low Value Buyers
12939.0,63,8,11581.8,3,Low Value Buyers
12940.0,54,2,913.54,3,Low Value Buyers
12942.0,130,3,683.9,3,Low Value Buyers
12944.0,35,2,604.51,3,Low Value Buyers
12945.0,287,1,462.95,1,New Customers
12947.0,143,6,1603.99,3,Low Value Buyers
12948.0,15,7,2064.95,3,Low Value Buyers
12949.0,30,8,4167.22,3,Low Value Buyers
12950.0,1,3,1843.0,3,Low Value Buyers
12951.0,8,6,1064.07,3,Low Value Buyers
12952.0,5,4,1387.79,3,Low Value Buyers
12953.0,9,1,329.85,3,Low Value Buyers
12955.0,0,11,4757.16,3,Low Value Buyers
12956.0,305,1,108.07,1,New Customers
12957.0,9,8,4017.54,3,Low Value Buyers
12962.0,6,2,266.39,3,Low Value Buyers
12963.0,7,8,1856.63,3,Low Value Buyers
12965.0,88,1,771.91,3,Low Value Buyers
12966.0,9,1,160.18,3,Low Value Buyers
12967.0,357,2,1660.9,1,New Customers
12968.0,111,1,135.95,3,Low Value Buyers
12970.0,6,4,452.24,3,Low Value Buyers
12971.0,3,86,11189.91,0,Loyal / High Spenders
12974.0,197,1,144.8,1,New Customers
12976.0,211,1,738.6,1,New Customers
12977.0,155,1,39.239999999999995,1,New Customers
12980.0,157,9,7374.900000000001,3,Low Value Buyers
12981.0,29,2,372.21999999999997,3,Low Value Buyers
12982.0,242,1,390.54,1,New Customers
12984.0,18,1,97.5,3,Low Value Buyers
12985.0,0,2,1239.38,3,Low Value Buyers
12987.0,73,2,558.7,3,Low Value Buyers
12988.0,291,1,535.32,1,New Customers
12989.0,2,15,6924.110000000001,0,Loyal / High Spenders
12990.0,30,3,409.5,3,Low Value Buyers
12991.0,22,2,503.76,3,Low Value Buyers
12993.0,22,4,414.76,3,Low Value Buyers
12994.0,3,3,974.4200000000001,3,Low Value Buyers
12995.0,84,1,211.32,3,Low Value Buyers
12997.0,21,4,1226.89,3,Low Value Buyers
12999.0,195,3,455.88,1,New Customers
13000.0,106,3,534.85,3,Low Value Buyers
13001.0,3,13,9818.82,0,Loyal / High Spenders
13002.0,317,1,120.94999999999999,1,New Customers
13003.0,105,3,149.05,3,Low Value Buyers
13004.0,11,18,5655.91,0,Loyal / High Spenders
13005.0,173,2,513.7,1,New Customers
13006.0,55,1,81.57,3,Low Value Buyers
13008.0,322,1,229.46999999999997,1,New Customers
13011.0,371,1,50.550000000000004,1,New Customers
13012.0,8,8,1661.8400000000001,3,Low Value Buyers
13013.0,0,13,4810.9400000000005,3,Low Value Buyers
13014.0,10,10,3466.2799999999997,3,Low Value Buyers
13015.0,52,5,3346.28,3,Low Value Buyers
13016.0,72,3,789.89,3,Low Value Buyers
13017.0,6,1,204.0,3,Low Value Buyers
13018.0,15,28,7277.7,0,Loyal / High Spenders
13021.0,3,9,2616.38,3,Low Value Buyers
13023.0,63,2,689.9,3,Low Value Buyers
13026.0,0,5,975.36,3,Low Value Buyers
13027.0,113,6,6912.0,3,Low Value Buyers
13028.0,22,2,661.3199999999999,3,Low Value Buyers
13029.0,30,3,1247.5,3,Low Value Buyers
13030.0,10,2,799.48,3,Low Value Buyers
13032.0,51,2,1010.18,3,Low Value Buyers
13033.0,356,1,190.55,1,New Customers
13034.0,54,2,642.77,3,Low Value Buyers
13035.0,73,2,921.88,3,Low Value Buyers
13037.0,137,3,881.07,3,Low Value Buyers
13038.0,79,3,908.46,3,Low Value Buyers
13040.0,8,2,676.99,3,Low Value Buyers
13043.0,272,1,516.42,1,New Customers
13044.0,290,1,560.47,1,New Customers
13045.0,98,1,305.28000000000003,3,Low Value Buyers
13046.0,30,2,629.31,3,Low Value Buyers
13047.0,31,10,3237.54,3,Low Value Buyers
13048.0,13,4,1835.91,3,Low Value Buyers
13049.0,63,2,656.6800000000001,3,Low Value Buyers
13050.0,14,17,5836.86,0,Loyal / High Spenders
13052.0,211,1,348.15000000000003,1,New Customers
13055.0,77,3,1214.41,3,Low Value Buyers
13058.0,24,3,271.40000000000003,3,Low Value Buyers
13059.0,249,1,183.4,1,New Customers
13060.0,253,1,307.53,1,New Customers
13061.0,71,1,248.61,3,Low Value Buyers
13062.0,190,1,346.98,1,New Customers
13064.0,12,4,1119.49,3,Low Value Buyers
13065.0,372,1,205.86,1,New Customers
13066.0,23,2,470.8,3,Low Value Buyers
13067.0,81,1,115.46000000000001,3,Low Value Buyers
13068.0,9,2,344.0,3,Low Value Buyers
13069.0,0,24,4436.12,0,Loyal / High Spenders
13070.0,191,1,228.8,1,New Customers
13072.0,266,1,177.15,1,New Customers
13075.0,129,1,919.61,3,Low Value Buyers
13077.0,0,4,729.27,3,Low Value Buyers
13078.0,2,26,12627.94,0,Loyal / High Spenders
13079.0,3,5,220.10000000000002,3,Low Value Buyers
13080.0,178,1,58.08,1,New Customers
13081.0,11,11,28337.38,0,Loyal / High Spenders
13082.0,125,9,3613.63,3,Low Value Buyers
13083.0,3,2,303.75,3,Low Value Buyers
13085.0,157,2,416.08000000000004,1,New Customers
13089.0,2,97,58825.83,2,At Risk / Inactive
13090.0,8,14,8910.82,0,Loyal / High Spenders
13091.0,27,1,345.82,3,Low Value Buyers
13092.0,70,5,477.83,3,Low Value Buyers
13093.0,275,8,7832.47,1,New Customers
13094.0,20,12,1927.3200000000002,3,Low Value Buyers
13095.0,70,1,74.39999999999999,3,Low Value Buyers
13097.0,32,10,6010.42,3,Low Value Buyers
13098.0,0,28,28882.44,0,Loyal / High Spenders
13099.0,98,1,207.35999999999999,3,Low Value Buyers
13101.0,233,1,101.19,1,New Customers
13102.0,0,24,6424.09,0,Loyal / High Spenders
13103.0,39,1,243.94,3,Low Value Buyers
13104.0,2,6,1098.48,3,Low Value Buyers
